total 0
dr-x------ 2 root root   0 Nov 17 19:55 .
lr-------- 1 root root  64 Nov 17 19:55 7863ebfef000-7863ebff0000 -> /usr/lib/x86_64-linux-gnu/libpwquality.so.1.0.2
lr-------- 1 root root  64 Nov 17 19:55 7863ebff0000-7863ebff1000 -> /usr/lib/x86_64-linux-gnu/libpwquality.so.1.0.2
lr-------- 1 root root  64 Nov 17 19:55 7863ebff1000-7863ebff2000 -> /usr/lib/x86_64-linux-gnu/security/pam_pwquality.so
lr-------- 1 root root  64 Nov 17 19:55 7863ebff2000-7863ebff3000 -> /usr/lib/x86_64-linux-gnu/security/pam_pwquality.so
lr-------- 1 root root  64 Nov 17 19:55 7863ebff3000-7863ebff4000 -> /usr/lib/x86_64-linux-gnu/security/pam_pwquality.so
lr-------- 1 root root  64 Nov 17 19:55 7863ebff4000-7863ebff5000 -> /usr/lib/x86_64-linux-gnu/security/pam_pwquality.so
lr-------- 1 root root  64 Nov 17 19:55 7863ebff5000-7863ebff6000 -> /usr/lib/x86_64-linux-gnu/security/pam_pwquality.so
lr-------- 1 root root  64 Nov 17 19:55 7863ebff6000-7863ebff7000 -> /usr/lib/x86_64-linux-gnu/security/pam_umask.so
lr-------- 1 root root  64 Nov 17 19:55 7863ebff7000-7863ebff8000 -> /usr/lib/x86_64-linux-gnu/security/pam_umask.so
lr-------- 1 root root  64 Nov 17 19:55 7863ebff8000-7863ebff9000 -> /usr/lib/x86_64-linux-gnu/security/pam_umask.so
lr-------- 1 root root  64 Nov 17 19:55 7863ebff9000-7863ebffa000 -> /usr/lib/x86_64-linux-gnu/security/pam_umask.so
lr-------- 1 root root  64 Nov 17 19:55 7863ebffa000-7863ebffb000 -> /usr/lib/x86_64-linux-gnu/security/pam_umask.so
lr-------- 1 root root  64 Nov 17 19:55 7863ebffb000-7863ebffc000 -> /usr/lib/x86_64-linux-gnu/security/pam_env.so
lr-------- 1 root root  64 Nov 17 19:55 7863ebffc000-7863ebffe000 -> /usr/lib/x86_64-linux-gnu/security/pam_env.so
lr-------- 1 root root  64 Nov 17 19:55 7863ebffe000-7863ebfff000 -> /usr/lib/x86_64-linux-gnu/security/pam_env.so
lr-------- 1 root root  64 Nov 17 19:55 7863ebfff000-7863ec000000 -> /usr/lib/x86_64-linux-gnu/security/pam_env.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec000000-7863ec001000 -> /usr/lib/x86_64-linux-gnu/security/pam_env.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec001000-7863ec003000 -> /usr/lib/x86_64-linux-gnu/security/pam_limits.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec003000-7863ec007000 -> /usr/lib/x86_64-linux-gnu/security/pam_limits.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec007000-7863ec008000 -> /usr/lib/x86_64-linux-gnu/security/pam_limits.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec008000-7863ec009000 -> /usr/lib/x86_64-linux-gnu/security/pam_limits.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec009000-7863ec00a000 -> /usr/lib/x86_64-linux-gnu/security/pam_limits.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec00a000-7863ec00b000 -> /usr/lib/x86_64-linux-gnu/security/pam_keyinit.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec00b000-7863ec00c000 -> /usr/lib/x86_64-linux-gnu/security/pam_keyinit.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec00c000-7863ec00d000 -> /usr/lib/x86_64-linux-gnu/security/pam_keyinit.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec00d000-7863ec00e000 -> /usr/lib/x86_64-linux-gnu/security/pam_keyinit.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec00e000-7863ec00f000 -> /usr/lib/x86_64-linux-gnu/security/pam_keyinit.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec00f000-7863ec010000 -> /usr/lib/x86_64-linux-gnu/security/pam_loginuid.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec010000-7863ec011000 -> /usr/lib/x86_64-linux-gnu/security/pam_loginuid.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec011000-7863ec012000 -> /usr/lib/x86_64-linux-gnu/security/pam_loginuid.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec012000-7863ec013000 -> /usr/lib/x86_64-linux-gnu/security/pam_loginuid.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec013000-7863ec014000 -> /usr/lib/x86_64-linux-gnu/security/pam_loginuid.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec014000-7863ec016000 -> /usr/lib/x86_64-linux-gnu/security/pam_selinux.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec016000-7863ec019000 -> /usr/lib/x86_64-linux-gnu/security/pam_selinux.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec019000-7863ec01a000 -> /usr/lib/x86_64-linux-gnu/security/pam_selinux.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec01a000-7863ec01b000 -> /usr/lib/x86_64-linux-gnu/security/pam_selinux.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec01b000-7863ec01c000 -> /usr/lib/x86_64-linux-gnu/security/pam_selinux.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec01c000-7863ec01d000 -> /usr/lib/x86_64-linux-gnu/security/pam_localuser.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec01d000-7863ec01e000 -> /usr/lib/x86_64-linux-gnu/security/pam_localuser.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec01e000-7863ec01f000 -> /usr/lib/x86_64-linux-gnu/security/pam_localuser.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec01f000-7863ec020000 -> /usr/lib/x86_64-linux-gnu/security/pam_localuser.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec020000-7863ec021000 -> /usr/lib/x86_64-linux-gnu/security/pam_localuser.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec021000-7863ec023000 -> /usr/lib/x86_64-linux-gnu/security/pam_gnome_keyring.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec023000-7863ec026000 -> /usr/lib/x86_64-linux-gnu/security/pam_gnome_keyring.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec026000-7863ec027000 -> /usr/lib/x86_64-linux-gnu/security/pam_gnome_keyring.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec027000-7863ec028000 -> /usr/lib/x86_64-linux-gnu/security/pam_gnome_keyring.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec028000-7863ec029000 -> /usr/lib/x86_64-linux-gnu/security/pam_gnome_keyring.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec029000-7863ec02a000 -> /usr/lib/x86_64-linux-gnu/security/pam_cap.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec02a000-7863ec02c000 -> /usr/lib/x86_64-linux-gnu/security/pam_cap.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec02c000-7863ec02d000 -> /usr/lib/x86_64-linux-gnu/security/pam_cap.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec02d000-7863ec02e000 -> /usr/lib/x86_64-linux-gnu/security/pam_cap.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec02e000-7863ec02f000 -> /usr/lib/x86_64-linux-gnu/security/pam_cap.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec02f000-7863ec030000 -> /usr/lib/x86_64-linux-gnu/security/pam_permit.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec030000-7863ec031000 -> /usr/lib/x86_64-linux-gnu/security/pam_permit.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec031000-7863ec032000 -> /usr/lib/x86_64-linux-gnu/security/pam_permit.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec032000-7863ec033000 -> /usr/lib/x86_64-linux-gnu/security/pam_permit.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec033000-7863ec034000 -> /usr/lib/x86_64-linux-gnu/security/pam_permit.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec034000-7863ec035000 -> /usr/lib/x86_64-linux-gnu/security/pam_deny.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec035000-7863ec036000 -> /usr/lib/x86_64-linux-gnu/security/pam_deny.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec036000-7863ec037000 -> /usr/lib/x86_64-linux-gnu/security/pam_deny.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec037000-7863ec038000 -> /usr/lib/x86_64-linux-gnu/security/pam_deny.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec038000-7863ec039000 -> /usr/lib/x86_64-linux-gnu/security/pam_deny.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec039000-7863ec03c000 -> /usr/lib/x86_64-linux-gnu/security/pam_sss.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec03c000-7863ec046000 -> /usr/lib/x86_64-linux-gnu/security/pam_sss.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec046000-7863ec048000 -> /usr/lib/x86_64-linux-gnu/security/pam_sss.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec048000-7863ec049000 -> /usr/lib/x86_64-linux-gnu/security/pam_sss.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec049000-7863ec04a000 -> /usr/lib/x86_64-linux-gnu/security/pam_sss.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec04a000-7863ec04d000 -> /usr/lib/x86_64-linux-gnu/security/pam_unix.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec04d000-7863ec055000 -> /usr/lib/x86_64-linux-gnu/security/pam_unix.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec055000-7863ec057000 -> /usr/lib/x86_64-linux-gnu/security/pam_unix.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec057000-7863ec058000 -> /usr/lib/x86_64-linux-gnu/security/pam_unix.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec058000-7863ec059000 -> /usr/lib/x86_64-linux-gnu/security/pam_unix.so
lr-------- 1 root root  64 Nov 17 19:55 7863ec06c000-7863ec073000 -> /usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec073000-7863ec097000 -> /usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec097000-7863ec0a0000 -> /usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec0a0000-7863ec0a6000 -> /usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec0a6000-7863ec0a7000 -> /usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec0a7000-7863ec0ab000 -> /usr/lib/x86_64-linux-gnu/libgpg-error.so.0.34.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec0ab000-7863ec0c1000 -> /usr/lib/x86_64-linux-gnu/libgpg-error.so.0.34.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec0c1000-7863ec0ca000 -> /usr/lib/x86_64-linux-gnu/libgpg-error.so.0.34.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec0ca000-7863ec0cb000 -> /usr/lib/x86_64-linux-gnu/libgpg-error.so.0.34.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec0cb000-7863ec0cc000 -> /usr/lib/x86_64-linux-gnu/libgpg-error.so.0.34.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec0cc000-7863ec0ce000 -> /usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec0ce000-7863ec0e3000 -> /usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec0e3000-7863ec0fc000 -> /usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec0fc000-7863ec0fd000 -> /usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec0fd000-7863ec0fe000 -> /usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec106000-7863ec10f000 -> /usr/lib/x86_64-linux-gnu/libmount.so.1.1.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec10f000-7863ec143000 -> /usr/lib/x86_64-linux-gnu/libmount.so.1.1.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec143000-7863ec150000 -> /usr/lib/x86_64-linux-gnu/libmount.so.1.1.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec150000-7863ec152000 -> /usr/lib/x86_64-linux-gnu/libmount.so.1.1.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec152000-7863ec153000 -> /usr/lib/x86_64-linux-gnu/libmount.so.1.1.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec153000-7863ec155000 -> /usr/lib/x86_64-linux-gnu/libz.so.1.3
lr-------- 1 root root  64 Nov 17 19:55 7863ec155000-7863ec167000 -> /usr/lib/x86_64-linux-gnu/libz.so.1.3
lr-------- 1 root root  64 Nov 17 19:55 7863ec167000-7863ec16d000 -> /usr/lib/x86_64-linux-gnu/libz.so.1.3
lr-------- 1 root root  64 Nov 17 19:55 7863ec16d000-7863ec16e000 -> /usr/lib/x86_64-linux-gnu/libz.so.1.3
lr-------- 1 root root  64 Nov 17 19:55 7863ec16e000-7863ec16f000 -> /usr/lib/x86_64-linux-gnu/libz.so.1.3
lr-------- 1 root root  64 Nov 17 19:55 7863ec16f000-7863ec171000 -> /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.11.2
lr-------- 1 root root  64 Nov 17 19:55 7863ec171000-7863ec1df000 -> /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.11.2
lr-------- 1 root root  64 Nov 17 19:55 7863ec1df000-7863ec207000 -> /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.11.2
lr-------- 1 root root  64 Nov 17 19:55 7863ec207000-7863ec208000 -> /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.11.2
lr-------- 1 root root  64 Nov 17 19:55 7863ec208000-7863ec209000 -> /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.11.2
lr-------- 1 root root  64 Nov 17 19:55 7863ec209000-7863ec219000 -> /usr/lib/x86_64-linux-gnu/libm.so.6
lr-------- 1 root root  64 Nov 17 19:55 7863ec219000-7863ec298000 -> /usr/lib/x86_64-linux-gnu/libm.so.6
lr-------- 1 root root  64 Nov 17 19:55 7863ec298000-7863ec2f0000 -> /usr/lib/x86_64-linux-gnu/libm.so.6
lr-------- 1 root root  64 Nov 17 19:55 7863ec2f0000-7863ec2f1000 -> /usr/lib/x86_64-linux-gnu/libm.so.6
lr-------- 1 root root  64 Nov 17 19:55 7863ec2f1000-7863ec2f2000 -> /usr/lib/x86_64-linux-gnu/libm.so.6
lr-------- 1 root root  64 Nov 17 19:55 7863ec2f2000-7863ec2f6000 -> /usr/lib/x86_64-linux-gnu/libzstd.so.1.5.5
lr-------- 1 root root  64 Nov 17 19:55 7863ec2f6000-7863ec39d000 -> /usr/lib/x86_64-linux-gnu/libzstd.so.1.5.5
lr-------- 1 root root  64 Nov 17 19:55 7863ec39d000-7863ec3aa000 -> /usr/lib/x86_64-linux-gnu/libzstd.so.1.5.5
lr-------- 1 root root  64 Nov 17 19:55 7863ec3aa000-7863ec3ab000 -> /usr/lib/x86_64-linux-gnu/libzstd.so.1.5.5
lr-------- 1 root root  64 Nov 17 19:55 7863ec3ab000-7863ec3ac000 -> /usr/lib/x86_64-linux-gnu/libzstd.so.1.5.5
lr-------- 1 root root  64 Nov 17 19:55 7863ec3ac000-7863ec3af000 -> /usr/lib/x86_64-linux-gnu/liblzma.so.5.4.5
lr-------- 1 root root  64 Nov 17 19:55 7863ec3af000-7863ec3d1000 -> /usr/lib/x86_64-linux-gnu/liblzma.so.5.4.5
lr-------- 1 root root  64 Nov 17 19:55 7863ec3d1000-7863ec3dc000 -> /usr/lib/x86_64-linux-gnu/liblzma.so.5.4.5
lr-------- 1 root root  64 Nov 17 19:55 7863ec3dc000-7863ec3dd000 -> /usr/lib/x86_64-linux-gnu/liblzma.so.5.4.5
lr-------- 1 root root  64 Nov 17 19:55 7863ec3dd000-7863ec3de000 -> /usr/lib/x86_64-linux-gnu/liblzma.so.5.4.5
lr-------- 1 root root  64 Nov 17 19:55 7863ec3de000-7863ec3e1000 -> /usr/lib/x86_64-linux-gnu/liblz4.so.1.9.4
lr-------- 1 root root  64 Nov 17 19:55 7863ec3e1000-7863ec3fc000 -> /usr/lib/x86_64-linux-gnu/liblz4.so.1.9.4
lr-------- 1 root root  64 Nov 17 19:55 7863ec3fc000-7863ec3fe000 -> /usr/lib/x86_64-linux-gnu/liblz4.so.1.9.4
lr-------- 1 root root  64 Nov 17 19:55 7863ec3fe000-7863ec3ff000 -> /usr/lib/x86_64-linux-gnu/liblz4.so.1.9.4
lr-------- 1 root root  64 Nov 17 19:55 7863ec3ff000-7863ec400000 -> /usr/lib/x86_64-linux-gnu/liblz4.so.1.9.4
lr-------- 1 root root  64 Nov 17 19:55 7863ec400000-7863ec428000 -> /usr/lib/x86_64-linux-gnu/libc.so.6
lr-------- 1 root root  64 Nov 17 19:55 7863ec428000-7863ec5b0000 -> /usr/lib/x86_64-linux-gnu/libc.so.6
lr-------- 1 root root  64 Nov 17 19:55 7863ec5b0000-7863ec5ff000 -> /usr/lib/x86_64-linux-gnu/libc.so.6
lr-------- 1 root root  64 Nov 17 19:55 7863ec5ff000-7863ec603000 -> /usr/lib/x86_64-linux-gnu/libc.so.6
lr-------- 1 root root  64 Nov 17 19:55 7863ec603000-7863ec605000 -> /usr/lib/x86_64-linux-gnu/libc.so.6
lr-------- 1 root root  64 Nov 17 19:55 7863ec612000-7863ec614000 -> /usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec614000-7863ec617000 -> /usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec617000-7863ec618000 -> /usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec618000-7863ec619000 -> /usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec619000-7863ec61a000 -> /usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec61c000-7863ec61e000 -> /usr/lib/x86_64-linux-gnu/libgmodule-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec61e000-7863ec620000 -> /usr/lib/x86_64-linux-gnu/libgmodule-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec620000-7863ec621000 -> /usr/lib/x86_64-linux-gnu/libgmodule-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec621000-7863ec622000 -> /usr/lib/x86_64-linux-gnu/libgmodule-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec622000-7863ec623000 -> /usr/lib/x86_64-linux-gnu/libgmodule-2.0.so.0.8000.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec623000-7863ec625000 -> /usr/lib/x86_64-linux-gnu/libffi.so.8.1.4
lr-------- 1 root root  64 Nov 17 19:55 7863ec625000-7863ec62c000 -> /usr/lib/x86_64-linux-gnu/libffi.so.8.1.4
lr-------- 1 root root  64 Nov 17 19:55 7863ec62c000-7863ec62d000 -> /usr/lib/x86_64-linux-gnu/libffi.so.8.1.4
lr-------- 1 root root  64 Nov 17 19:55 7863ec62d000-7863ec62e000 -> /usr/lib/x86_64-linux-gnu/libffi.so.8.1.4
lr-------- 1 root root  64 Nov 17 19:55 7863ec62e000-7863ec62f000 -> /usr/lib/x86_64-linux-gnu/libffi.so.8.1.4
lr-------- 1 root root  64 Nov 17 19:55 7863ec631000-7863ec640000 -> /usr/lib/x86_64-linux-gnu/libgcrypt.so.20.4.3
lr-------- 1 root root  64 Nov 17 19:55 7863ec640000-7863ec734000 -> /usr/lib/x86_64-linux-gnu/libgcrypt.so.20.4.3
lr-------- 1 root root  64 Nov 17 19:55 7863ec734000-7863ec76f000 -> /usr/lib/x86_64-linux-gnu/libgcrypt.so.20.4.3
lr-------- 1 root root  64 Nov 17 19:55 7863ec76f000-7863ec774000 -> /usr/lib/x86_64-linux-gnu/libgcrypt.so.20.4.3
lr-------- 1 root root  64 Nov 17 19:55 7863ec774000-7863ec778000 -> /usr/lib/x86_64-linux-gnu/libgcrypt.so.20.4.3
lr-------- 1 root root  64 Nov 17 19:55 7863ec779000-7863ec77c000 -> /usr/lib/x86_64-linux-gnu/libcap.so.2.66
lr-------- 1 root root  64 Nov 17 19:55 7863ec77c000-7863ec782000 -> /usr/lib/x86_64-linux-gnu/libcap.so.2.66
lr-------- 1 root root  64 Nov 17 19:55 7863ec782000-7863ec784000 -> /usr/lib/x86_64-linux-gnu/libcap.so.2.66
lr-------- 1 root root  64 Nov 17 19:55 7863ec784000-7863ec785000 -> /usr/lib/x86_64-linux-gnu/libcap.so.2.66
lr-------- 1 root root  64 Nov 17 19:55 7863ec785000-7863ec786000 -> /usr/lib/x86_64-linux-gnu/libcap.so.2.66
lr-------- 1 root root  64 Nov 17 19:55 7863ec788000-7863ec78b000 -> /usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec78b000-7863ec793000 -> /usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec793000-7863ec7a8000 -> /usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec7a8000-7863ec7a9000 -> /usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec7a9000-7863ec7aa000 -> /usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec7b6000-7863ec7b7000 -> /usr/lib/x86_64-linux-gnu/libXau.so.6.0.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec7b7000-7863ec7b9000 -> /usr/lib/x86_64-linux-gnu/libXau.so.6.0.0
lr-------- 1 root root  64 Nov 17 19:55 7863ec7b9000-7863ec7ba000 -> /usr/lib/x86_64-linux-gnu/libXau.so.6.0.0
