COMMAND      PID                 USER   FD   TYPE             DEVICE SIZE/OFF   NODE NAME
systemd        1                 root  106u  unix 0xffff8cb9011f4000      0t0 290229 type=DGRAM (CONNECTED)
systemd        1                 root  107u  unix 0xffff8cb92a4b3400      0t0  29449 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  108u  unix 0xffff8cb9011f6800      0t0 290230 type=DGRAM (CONNECTED)
systemd        1                 root  111u  unix 0xffff8cba0cd2f800      0t0  24646 type=DGRAM (CONNECTED)
systemd        1                 root  112u  unix 0xffff8cba0cd33c00      0t0  24647 type=DGRAM (CONNECTED)
systemd        1                 root  115u  unix 0xffff8cba0c90cc00      0t0  23665 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  116u  unix 0xffff8cb931e4a800      0t0 290232 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  125u  unix 0xffff8cb931d97400      0t0  24251 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  126u  unix 0xffff8cb90e4ba800      0t0  24252 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  127u  unix 0xffff8cb931e5ec00      0t0  24258 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  128u  unix 0xffff8cb90e4b8c00      0t0  26688 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  129u  unix 0xffff8cb931e65000      0t0  22484 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  132u  unix 0xffff8cba01550000      0t0  26184 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  137u  unix 0xffff8cba0ac3c000      0t0  19799 type=DGRAM (CONNECTED)
systemd        1                 root  147u  unix 0xffff8cba0ac3f800      0t0  19851 @12216923dca5bd75/bus/systemd/bus-api-system type=STREAM (CONNECTED)
systemd        1                 root  152u  unix 0xffff8cb9011eb400      0t0  24913 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  168u  unix 0xffff8cb901c98800      0t0  24145 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  170u  unix 0xffff8cba04bf3800      0t0  20052 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  171u  unix 0xffff8cba0562ec00      0t0  19981 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  172u  unix 0xffff8cba06f6e000      0t0  19947 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  173u  unix 0xffff8cba06f6f400      0t0  19939 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  174u  unix 0xffff8cba04bf3c00      0t0  19922 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  175u  unix 0xffff8cba05ec7000      0t0  19855 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  176u  unix 0xffff8cba04bf0800      0t0  19844 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  177u  unix 0xffff8cba05ec6c00      0t0  19840 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  178u  unix 0xffff8cba05ec7800      0t0  19830 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  179u  unix 0xffff8cba0562c800      0t0  19824 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  180u  unix 0xffff8cba0ac3d000      0t0  19823 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  181u  unix 0xffff8cba04bf1000      0t0  19804 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  183u  unix 0xffff8cba0562d000      0t0  20855 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  184u  unix 0xffff8cba118f1c00      0t0  20843 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  186u  unix 0xffff8cba01551800      0t0  15056 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  187u  unix 0xffff8cba118f2c00      0t0  15051 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  188u  unix 0xffff8cba0c556800      0t0  14873 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  189u  unix 0xffff8cba05024c00      0t0  14507 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  193u  unix 0xffff8cba10f41000      0t0  24146 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  196u  unix 0xffff8cba0c557c00      0t0  17927 /run/systemd/io.systemd.sysext type=STREAM (LISTEN)
systemd        1                 root  197u  unix 0xffff8cba118f1000      0t0  19711 /run/uuidd/request type=STREAM (LISTEN)
systemd        1                 root  199u  unix 0xffff8cba118f0800      0t0  19707 /run/dbus/system_bus_socket type=STREAM (LISTEN)
systemd        1                 root  200u  unix 0xffff8cb9011ec000      0t0  24225 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  203u  unix 0xffff8cba07745c00      0t0  12260 /run/systemd/oom/io.systemd.ManagedOOM type=STREAM (LISTEN)
systemd        1                 root  204u  unix 0xffff8cba07747400      0t0  12256 /run/systemd/journal/socket type=DGRAM (CONNECTED)
systemd        1                 root  205u  unix 0xffff8cba07744000      0t0  12258 /run/systemd/journal/stdout type=STREAM (LISTEN)
systemd        1                 root  206u  unix 0xffff8cba118f2800      0t0  19704 /run/cups/cups.sock type=STREAM (LISTEN)
systemd        1                 root  207u  unix 0xffff8cba07744800      0t0  12251 /run/systemd/journal/syslog type=DGRAM (UNCONNECTED)
systemd        1                 root  220u  unix 0xffff8cb901c99800      0t0  24226 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  221u  unix 0xffff8cb931e65800      0t0  24277 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  224u  unix 0xffff8cba07747000      0t0  12254 /run/systemd/journal/dev-log type=DGRAM (CONNECTED)
systemd        1                 root  225u  unix 0xffff8cba118f0c00      0t0  19700 /run/avahi-daemon/socket type=STREAM (LISTEN)
systemd        1                 root  227u  unix 0xffff8cba07746000      0t0  12262 /run/udev/control type=SEQPACKET (LISTEN)
systemd        1                 root  230u  unix 0xffff8cb91120d800      0t0  24300 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  232u  unix 0xffff8cb90e4b8000      0t0  28714 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  233u  unix 0xffff8cb931e5c000      0t0  28715 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  239u  unix 0xffff8cba07746800      0t0  12252 /run/systemd/fsck.progress type=STREAM (LISTEN)
systemd        1                 root  243u  unix 0xffff8cba118f1800      0t0  19709 /run/snapd.socket type=STREAM (LISTEN)
systemd        1                 root  244u  unix 0xffff8cba118f3800      0t0  19710 /run/snapd-snap.socket type=STREAM (LISTEN)
systemd        1                 root  249u  unix 0xffff8cb91120c800      0t0  26901 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  250u  unix 0xffff8cb91120dc00      0t0  26903 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  251u  unix 0xffff8cb90e4ba400      0t0  26910 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  252u  unix 0xffff8cb911223c00      0t0  28802 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  253u  unix 0xffff8cb911220000      0t0  28803 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  254u  unix 0xffff8cb912605800      0t0  28860 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  255u  unix 0xffff8cb90bb4cc00      0t0  28822 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  256u  unix 0xffff8cb90d658800      0t0  28824 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  257u  unix 0xffff8cb90bb4c000      0t0  28839 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  258u  unix 0xffff8cb90d65b400      0t0  28841 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  259u  unix 0xffff8cb90f5ef400      0t0  29030 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  260u  unix 0xffff8cb912606400      0t0  28939 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  261u  unix 0xffff8cb90bb4d800      0t0  28872 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  262u  unix 0xffff8cb90bada000      0t0  28916 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  263u  unix 0xffff8cb90d659800      0t0  28918 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  264u  unix 0xffff8cb90d673400      0t0  28993 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  265u  unix 0xffff8cb90bada800      0t0  28886 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  266u  unix 0xffff8cb90d658c00      0t0  28921 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  267u  unix 0xffff8cb90f5ee000      0t0  29031 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  268u  unix 0xffff8cb912606c00      0t0  28925 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  269u  unix 0xffff8cb90d65a800      0t0  28927 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  270u  unix 0xffff8cb90d659400      0t0  28932 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  271u  unix 0xffff8cb90badb800      0t0  28940 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  272u  unix 0xffff8cb90bad9000      0t0  28941 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  273u  unix 0xffff8cb90badac00      0t0  28942 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  274u  unix 0xffff8cb90d673c00      0t0  28979 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  275u  unix 0xffff8cb90d670000      0t0  28981 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  276u  unix 0xffff8cb90bad9c00      0t0  28995 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  277u  unix 0xffff8cb90d677800      0t0  29008 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  278u  unix 0xffff8cb90bb4f400      0t0  29039 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  279u  unix 0xffff8cb9011ef000      0t0  29042 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  280u  unix 0xffff8cb90bb4c400      0t0  29044 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  281u  unix 0xffff8cb90d670c00      0t0  27181 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  282u  unix 0xffff8cb912613400      0t0  27182 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  283u  unix 0xffff8cb90f62a400      0t0  29697 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  284u  unix 0xffff8cb90d689000      0t0  27976 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  287u  unix 0xffff8cb90f634c00      0t0  27984 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  288u  unix 0xffff8cb90f630400      0t0  28017 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  289u  unix 0xffff8cb90f631000      0t0  28035 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  290u  unix 0xffff8cb90f632c00      0t0  28036 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  291u  unix 0xffff8cb90f637c00      0t0  29784 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  292u  unix 0xffff8cb92a4b0c00      0t0  29802 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root    3u  unix 0xffff8cba07747000      0t0  12254 /run/systemd/journal/dev-log type=DGRAM (CONNECTED)
systemd-j    403                 root    4u  unix 0xffff8cba07747400      0t0  12256 /run/systemd/journal/socket type=DGRAM (CONNECTED)
systemd-j    403                 root    5u  unix 0xffff8cba07744000      0t0  12258 /run/systemd/journal/stdout type=STREAM (LISTEN)
systemd-j    403                 root    9u  unix 0xffff8cba0c542c00      0t0  13985 /run/systemd/journal/io.systemd.journal type=STREAM (LISTEN)
systemd-j    403                 root   14u  unix 0xffff8cba0c543c00      0t0  13988 type=DGRAM (CONNECTED)
systemd-j    403                 root   17u  unix 0xffff8cba118f2c00      0t0  15051 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   18u  unix 0xffff8cb931e4a800      0t0 290232 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   19u  unix 0xffff8cba118f1c00      0t0  20843 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   20u  unix 0xffff8cba0c556800      0t0  14873 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   21u  unix 0xffff8cba01551800      0t0  15056 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   22u  unix 0xffff8cba05024c00      0t0  14507 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   23u  unix 0xffff8cb931d94000      0t0  22272 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   24u  unix 0xffff8cba0562d000      0t0  20855 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   25u  unix 0xffff8cba04bf3800      0t0  20052 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   27u  unix 0xffff8cba0cd30800      0t0  21366 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   28u  unix 0xffff8cba04bf3c00      0t0  19922 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   30u  unix 0xffff8cba04bf1000      0t0  19804 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   31u  unix 0xffff8cba0ac3d000      0t0  19823 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   32u  unix 0xffff8cba0562c800      0t0  19824 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   33u  unix 0xffff8cba05ec7800      0t0  19830 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   34u  unix 0xffff8cba05ec6c00      0t0  19840 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   35u  unix 0xffff8cba05ec7000      0t0  19855 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   36u  unix 0xffff8cba04bf0800      0t0  19844 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   37u  unix 0xffff8cb9011f9800      0t0  44938 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   38u  unix 0xffff8cba0562e400      0t0  21313 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   39u  unix 0xffff8cba06f6f400      0t0  19939 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   40u  unix 0xffff8cba06f6e000      0t0  19947 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   41u  unix 0xffff8cba0562ec00      0t0  19981 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   42u  unix 0xffff8cba0c542800      0t0  21610 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   43u  unix 0xffff8cba0c543400      0t0  21316 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   44u  unix 0xffff8cb931d97c00      0t0  22273 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   45u  unix 0xffff8cb92a4b0000      0t0  29878 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   46u  unix 0xffff8cb92a4a3400      0t0  29887 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   49u  unix 0xffff8cba08741800      0t0  28346 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   50u  unix 0xffff8cba0c915400      0t0  43344 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   51u  unix 0xffff8cba06f6e800      0t0  43345 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   52u  unix 0xffff8cba01550000      0t0  26184 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   53u  unix 0xffff8cba2cb49000      0t0  43597 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   54u  unix 0xffff8cb9011f9c00      0t0  44939 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   56u  unix 0xffff8cba0c90cc00      0t0  23665 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   58u  unix 0xffff8cb92a4b3400      0t0  29449 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   63u  unix 0xffff8cb9011eb400      0t0  24913 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   80u  unix 0xffff8cb901205c00      0t0  22314 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   83u  unix 0xffff8cb9011f6400      0t0  22355 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   84u  unix 0xffff8cb9011f7800      0t0  22356 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   85u  unix 0xffff8cba05ec5400      0t0  22357 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   87u  unix 0xffff8cb9011eac00      0t0  22365 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   88u  unix 0xffff8cb901c98800      0t0  24145 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   89u  unix 0xffff8cba10f41000      0t0  24146 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   90u  unix 0xffff8cb9011ec000      0t0  24225 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   91u  unix 0xffff8cb901c99800      0t0  24226 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   92u  unix 0xffff8cb931d97400      0t0  24251 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   93u  unix 0xffff8cb90e4ba800      0t0  24252 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   94u  unix 0xffff8cb931e5ec00      0t0  24258 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   95u  unix 0xffff8cb90e4b8c00      0t0  26688 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   96u  unix 0xffff8cb931e65000      0t0  22484 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   97u  unix 0xffff8cb931e65800      0t0  24277 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   98u  unix 0xffff8cb931e5c000      0t0  28715 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root   99u  unix 0xffff8cb91120d800      0t0  24300 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  101u  unix 0xffff8cb90e4b8000      0t0  28714 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  102u  unix 0xffff8cb91120c800      0t0  26901 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  103u  unix 0xffff8cb91120dc00      0t0  26903 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  104u  unix 0xffff8cb90e4ba400      0t0  26910 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  105u  unix 0xffff8cb911223c00      0t0  28802 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  106u  unix 0xffff8cb911220000      0t0  28803 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  107u  unix 0xffff8cb912605800      0t0  28860 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  108u  unix 0xffff8cb90bb4cc00      0t0  28822 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  109u  unix 0xffff8cb90d658800      0t0  28824 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  110u  unix 0xffff8cb90bb4c000      0t0  28839 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  111u  unix 0xffff8cb90d65b400      0t0  28841 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  112u  unix 0xffff8cb90bada000      0t0  28916 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  113u  unix 0xffff8cb90d658c00      0t0  28921 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  114u  unix 0xffff8cb90bb4d800      0t0  28872 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  115u  unix 0xffff8cb90bada800      0t0  28886 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  116u  unix 0xffff8cb90f5ef400      0t0  29030 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  117u  unix 0xffff8cb90d673400      0t0  28993 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  118u  unix 0xffff8cb912606400      0t0  28939 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  119u  unix 0xffff8cb90d659800      0t0  28918 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  120u  unix 0xffff8cb90f5ee000      0t0  29031 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  121u  unix 0xffff8cb912606c00      0t0  28925 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  122u  unix 0xffff8cb90d65a800      0t0  28927 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  123u  unix 0xffff8cb90d659400      0t0  28932 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  124u  unix 0xffff8cb90badb800      0t0  28940 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  125u  unix 0xffff8cb90bad9000      0t0  28941 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  126u  unix 0xffff8cb90badac00      0t0  28942 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  127u  unix 0xffff8cb90d673c00      0t0  28979 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  128u  unix 0xffff8cb90d670000      0t0  28981 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  129u  unix 0xffff8cb90bad9c00      0t0  28995 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  130u  unix 0xffff8cb90d677800      0t0  29008 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  131u  unix 0xffff8cb90bb4f400      0t0  29039 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  132u  unix 0xffff8cb9011ef000      0t0  29042 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  133u  unix 0xffff8cb90bb4c400      0t0  29044 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  134u  unix 0xffff8cb90d670c00      0t0  27181 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    403                 root  135u  unix 0xffff8cb912613400      0t0  27182 /run/systemd/journal/stdout type=STREAM (CONNECTED)
